"","country","population","pm1998","pm1999","pm2000","pm2001","pm2002","pm2003","pm2004","pm2005","pm2006","pm2007","pm2008","pm2009","pm2010","pm2011","pm2012","pm2013","pm2014","pm2015","pm2016","pm2017","pm2018","pm2019","pm2020","pm2021"
"191","Saint-Barthélemy",6679,2.53842105263158,3.39657894736842,2.86578947368421,2.995,2.22236842105263,2.54684210526316,2.39342105263158,3.29,2.96,2.55236842105263,2.44078947368421,2.74105263157895,4.19447368421053,2.57394736842105,3.14710526315789,2.17605263157895,2.16578947368421,2.33973684210526,2.61105263157895,2.48026315789474,2.14684210526316,2.06921052631579,2.03578947368421,2.20342105263158
"192","Saint-Martin",30778,2.58,3.44,2.85,3.07,2.31,2.63,2.49,3.4,3.06,2.64,2.41,2.59,4.13,2.46,3.1,2.14,2.16,2.38,2.66,2.53,2.14,2.08,2.08,2.25
"193","Samoa",183008,0.821395348837209,0.925813953488372,1.2893023255814,1.20790697674419,1.31906976744186,1.36209302325581,1.09767441860465,1.61674418604651,1.3906976744186,1.49767441860465,1.19325581395349,1.38348837209302,1.21976744186047,1.10302325581395,1.3406976744186,1.34348837209302,1.4306976744186,1.77511627906977,1.4306976744186,1.48488372093023,1.56976744186047,1.47023255813953,1.21906976744186,1.12674418604651
"194","San Marino",34954,15.0488888888889,14.3077777777778,15.4033333333333,14.71,16.0244444444444,16.4344444444444,13.7466666666667,15.9811111111111,19.1822222222222,15.4922222222222,12.3244444444444,12.9655555555556,13.8844444444444,15.1577777777778,13.7233333333333,12.9644444444444,9.67111111111111,13.9322222222222,10.6455555555556,11.9377777777778,10.4855555555556,9.74444444444444,10.9633333333333,10.7866666666667
"195","São Tomé and Príncipe",198918,11.98,8.56857142857143,15.3314285714286,13.0028571428571,12.3571428571429,11.39,12.3814285714286,10.8757142857143,9.87285714285714,11.9142857142857,12.5914285714286,10.9985714285714,11.6757142857143,11.9657142857143,12.8442857142857,12.7728571428571,9.58714285714286,13.49,12.25,10.4342857142857,11.0714285714286,10.9171428571429,11.1614285714286,11.3485714285714
"196","Saudi Arabia",33434409,13.3697278911565,15.3650340136054,17.1470068027211,14.3662585034014,15.3822448979592,15.0663945578231,13.8010884353741,15.307074829932,17.3527891156463,17.7445578231293,18.8691156462585,19.0034693877551,19.6067346938776,21.4571428571429,20.9142857142857,18.6361224489796,20.6533333333333,21.2521768707483,19.7561224489796,21.9108163265306,20.9062585034014,20.5447619047619,18.8772108843537,20.8970068027211
"197","Senegal",15919888,5.99644444444444,6.37022222222222,5.87266666666667,4.99022222222222,4.53466666666667,5.45111111111111,5.11511111111111,5.39288888888889,5.73955555555556,5.32622222222222,5.62022222222222,5.992,6.44088888888889,5.69844444444444,5.93088888888889,5.61755555555556,5.68688888888889,6.13133333333333,5.39711111111111,5.77711111111111,5.08311111111111,6.15333333333333,6.07155555555556,6.37888888888889
"198","Serbia",7003880,22.9865838509317,22.0263354037267,19.598198757764,21.5578881987578,21.9344099378882,23.3506211180124,22.0488198757764,23.3892546583851,23.8428571428571,20.6810559006211,20.447950310559,21.1688819875776,18.9231055900621,27.0480745341615,24.3701242236025,21.1232298136646,19.4993167701863,21.6634161490683,20.6455900621118,21.3804968944099,20.8230434782609,18.1686956521739,18.8780124223602,19.4157142857143
"199","Seychelles",84510,3.67961538461538,3.99653846153846,4.20423076923077,3.56384615384615,3.915,4.74192307692308,4.33538461538462,4.25038461538462,5.07115384615385,5.18307692307692,4.15269230769231,5.62346153846154,4.77615384615385,5.53153846153846,5.05461538461538,4.93076923076923,4.96153846153846,4.39615384615385,5.93230769230769,5.88461538461539,5.20653846153846,6.04884615384615,3.99230769230769,4.91884615384615
"200","Sierra Leone",6739524,18.3978571428571,14.7714285714286,13.5907142857143,12.4721428571429,11.2135714285714,12.8285714285714,13.4657142857143,13.0378571428571,12.3392857142857,12.285,12.8742857142857,15.7778571428571,13.9957142857143,13.0264285714286,11.7914285714286,13.2778571428571,13.1307142857143,12.2214285714286,12.5028571428571,11.9414285714286,11.7778571428571,12.6778571428571,11.9442857142857,11.6371428571429
